n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
3,3,symmetric,centralized,centralized,-1,0.05,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,1.3,1.0
3,3,symmetric,centralized,centralized,-1,0.1,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,2.2,1.0
3,3,symmetric,independent,independent,-1,0.0,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,0.0,1.0
3,3,symmetric,independent,independent,-1,0.05,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,3.5,1.0
3,3,symmetric,independent,independent,-1,0.1,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,4.75,1.0
3,3,symmetric,peer(K=1),peer,1,0.0,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,0.0,1.0
3,3,symmetric,peer(K=1),peer,1,0.05,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,1.3,1.0
3,3,symmetric,peer(K=1),peer,1,0.1,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,2.2,1.0
3,3,symmetric,peer(K=16),peer,16,0.0,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,0.0,1.0
3,3,symmetric,peer(K=16),peer,16,0.05,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,3.5,1.0
3,3,symmetric,peer(K=16),peer,16,0.1,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,4.75,1.0
3,3,symmetric,peer(K=2),peer,2,0.0,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,0.0,1.0
3,3,symmetric,peer(K=2),peer,2,0.05,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,1.3,1.0
3,3,symmetric,peer(K=2),peer,2,0.1,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,2.2,1.0
3,3,symmetric,peer(K=4),peer,4,0.0,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,0.0,1.0
3,3,symmetric,peer(K=4),peer,4,0.05,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,1.3,1.0
3,3,symmetric,peer(K=4),peer,4,0.1,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,2.2,1.0
3,3,symmetric,peer(K=8),peer,8,0.0,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,0.0,1.0
3,3,symmetric,peer(K=8),peer,8,0.05,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,3.5,1.0
3,3,symmetric,peer(K=8),peer,8,0.1,20,1.0,0.0,18.333333333333332,0.0,43.0,51.0,4.75,1.0
3,3,symmetric,shared,shared,-1,0.0,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,0.0,1.0
3,3,symmetric,shared,shared,-1,0.05,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,1.3,1.0
3,3,symmetric,shared,shared,-1,0.1,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,2.2,1.0
5,2,asymmetric,centralized,centralized,-1,0.0,20,0.4,0.0,4.5,0.0,5.0,135.0,0.0,2.5
5,2,asymmetric,centralized,centralized,-1,0.05,20,0.4,0.0,4.5,0.0,5.0,135.0,14.65,2.5
5,2,asymmetric,centralized,centralized,-1,0.1,20,0.4,0.0,4.5,0.0,5.0,135.0,27.05,2.5
5,2,asymmetric,independent,independent,-1,0.0,20,0.4,0.0,4.5,0.0,5.0,170.0,0.0,2.5
5,2,asymmetric,independent,independent,-1,0.05,20,0.4,0.0,4.5,0.0,5.0,170.0,14.55,2.5
5,2,asymmetric,independent,independent,-1,0.1,20,0.4,0.0,4.5,0.0,5.0,170.0,38.5,2.5
5,2,asymmetric,peer(K=1),peer,1,0.0,20,0.4,0.0,4.5,0.0,5.0,130.0,0.0,2.5
5,2,asymmetric,peer(K=1),peer,1,0.05,20,0.4,0.0,4.5,0.0,5.0,130.0,18.9,2.5
5,2,asymmetric,peer(K=1),peer,1,0.1,20,0.4,0.0,4.5,0.0,5.0,130.0,45.35,2.5
5,2,asymmetric,peer(K=16),peer,16,0.0,20,0.4,0.0,4.5,0.0,5.0,170.0,0.0,2.5
5,2,asymmetric,peer(K=16),peer,16,0.05,20,0.4,0.0,4.5,0.0,5.0,170.0,14.5,2.5
5,2,asymmetric,peer(K=16),peer,16,0.1,20,0.4,0.0,4.5,0.0,5.0,170.0,38.2,2.5
5,2,asymmetric,peer(K=2),peer,2,0.0,20,0.4,0.0,4.5,0.0,5.0,130.0,0.0,2.5
5,2,asymmetric,peer(K=2),peer,2,0.05,20,0.4,0.0,4.5,0.0,5.0,130.0,18.9,2.5
5,2,asymmetric,peer(K=2),peer,2,0.1,20,0.4,0.0,4.5,0.0,5.0,130.0,45.35,2.5
5,2,asymmetric,peer(K=4),peer,4,0.0,20,0.4,0.0,4.5,0.0,5.0,100.0,0.0,2.5
5,2,asymmetric,peer(K=4),peer,4,0.05,20,0.4,0.0,4.5,0.0,5.0,100.0,30.45,2.5
5,2,asymmetric,peer(K=4),peer,4,0.1,20,0.4,0.0,4.5,0.0,5.0,100.0,47.3,2.5
5,2,asymmetric,peer(K=8),peer,8,0.0,20,0.4,0.0,4.5,0.0,5.0,170.0,0.0,2.5
